Sample_ID,Parent_ID,Site_ID,your_site_4digit,your_rep,Sample_ID_repo,repo_location,your_richness,repo_richness,richness_difference,your_total_transformations,repo_total_transformations,total_transformations_difference,your_normalized_transformations,repo_normalized_transformations,normalized_transformations_difference,your_basin_area_km2,repo_basin_area_km2,basin_area_difference_km2
RC2_0010_ICR-1,RC2_0010,T03,0010,1,RC2_0010_ICR.1_p08,Union Gap,4398,3760,638,27093,77661,-50568,6.160300136425648,20.654521276595744,-14.494221140170097,8977.068899999998,8977.068899999998,0
RC2_0010_ICR-2,RC2_0010,T03,0010,2,RC2_0010_ICR.2_p08,Union Gap,4503,3701,802,26105,76941,-50836,5.797246280257606,20.789246149689273,-14.991999869431666,8977.068899999998,8977.068899999998,0
RC2_0010_ICR-3,RC2_0010,T03,0010,3,RC2_0010_ICR.3_p08,Union Gap,4250,3077,1173,27398,65070,-37672,6.446588235294118,21.147221319467015,-14.700633084172896,8977.068899999998,8977.068899999998,0
RC2_0011_ICR-1,RC2_0011,T02,0011,1,RC2_0011_ICR.1_p08,Mabton,4528,3960,568,24822,80591,-55769,5.4818904593639575,20.351262626262628,-14.869372166898671,13461.462,13461.462,0
RC2_0011_ICR-2,RC2_0011,T02,0011,2,RC2_0011_ICR.2_p08,Mabton,4629,3743,886,24286,76635,-52349,5.24648952257507,20.47421854127705,-15.22772901870198,13461.462,13461.462,0
RC2_0011_ICR-3,RC2_0011,T02,0011,3,RC2_0011_ICR.3_p08,Mabton,4172,2857,1315,28743,58611,-29868,6.889501438159156,20.51487574378719,-13.625374305628034,13461.462,13461.462,0
RC2_0012_ICR-1,RC2_0012,T07,0012,1,RC2_0012_ICR.1_p08,Kiona,4259,3326,933,26662,69928,-43266,6.26015496595445,21.02465423932652,-14.76449927337207,14144.724900000001,14144.724900000001,0
RC2_0012_ICR-2,RC2_0012,T07,0012,2,RC2_0012_ICR.2_p08,Kiona,4535,3969,566,25113,81190,-56077,5.537596471885336,20.456034265558074,-14.918437793672737,14144.724900000001,14144.724900000001,0
RC2_0012_ICR-3,RC2_0012,T07,0012,3,RC2_0012_ICR.3_p08,Kiona,4430,4035,395,24107,82303,-58196,5.44176072234763,20.39727385377943,-14.9555131314318,14144.724900000001,14144.724900000001,0
RC2_0013_ICR-1,RC2_0013,T06,0013,1,RC2_0013_ICR.1_p08,American River,4219,3602,617,26501,72614,-46113,6.281346290590188,20.159355913381454,-13.878009622791266,206.20349999999996,206.20349999999996,0
RC2_0013_ICR-2,RC2_0013,T06,0013,2,RC2_0013_ICR.2_p08,American River,4024,3445,579,23147,68432,-45285,5.7522365805168985,19.864150943396226,-14.111914362879327,206.20349999999996,206.20349999999996,0
RC2_0013_ICR-3,RC2_0013,T06,0013,3,RC2_0013_ICR.3_p08,American River,3810,2638,1172,23212,53364,-30152,6.092388451443569,20.2289613343442,-14.13657288290063,206.20349999999996,206.20349999999996,0
RC2_0014_ICR-1,RC2_0014,T05P,0014,1,RC2_0014_ICR.1_p08,Little Naches,4238,3915,323,21441,76658,-55217,5.059226050023596,19.58058748403576,-14.521361434012164,383.86440000000005,383.86440000000005,0
RC2_0014_ICR-2,RC2_0014,T05P,0014,2,RC2_0014_ICR.2_p08,Little Naches,4163,3855,308,20123,73731,-53608,4.83377372087437,19.126070038910505,-14.292296318036136,383.86440000000005,383.86440000000005,0
RC2_0014_ICR-3,RC2_0014,T05P,0014,3,RC2_0014_ICR.3_p08,Little Naches,4416,3889,527,22705,76405,-53700,5.141530797101449,19.646438673180768,-14.504907876079319,383.86440000000005,383.86440000000005,0
RC2_0015_ICR-1,RC2_0015,T42,0015,1,RC2_0015_ICR.1_p08,Naches- Craig Road 2,4603,3751,852,26724,76489,-49765,5.80577883988703,20.391628898960278,-14.585850059073248,2465.9001000000003,2465.9001000000003,0
RC2_0015_ICR-2,RC2_0015,T42,0015,2,RC2_0015_ICR.2_p08,Naches- Craig Road 2,4319,3566,753,24827,73661,-48834,5.748321370687659,20.656477846326418,-14.908156475638759,2465.9001000000003,2465.9001000000003,0
RC2_0015_ICR-3,RC2_0015,T42,0015,3,RC2_0015_ICR.3_p08,Naches- Craig Road 2,4313,3954,359,21715,79572,-57857,5.034778576396939,20.12443095599393,-15.089652379596991,2465.9001000000003,2465.9001000000003,0
RC2_0016_ICR-1,RC2_0016,T03,0016,1,RC2_0016_ICR.1_p08,Union Gap,4583,3706,877,27916,77119,-49203,6.091206633209688,20.80922827846735,-14.718021645257664,8977.068899999998,8977.068899999998,0
RC2_0016_ICR-2,RC2_0016,T03,0016,2,RC2_0016_ICR.2_p08,Union Gap,4447,3938,509,21868,78702,-56834,4.91747245333933,19.985271711528696,-15.067799258189368,8977.068899999998,8977.068899999998,0
RC2_0016_ICR-3,RC2_0016,T03,0016,3,RC2_0016_ICR.3_p08,Union Gap,4640,3815,825,27397,80612,-53215,5.904525862068965,21.1302752293578,-15.225749367288834,8977.068899999998,8977.068899999998,0
RC2_0017_ICR-1,RC2_0017,T02,0017,1,RC2_0017_ICR.1_p08,Mabton,4591,3734,857,26775,78225,-51450,5.832062731431061,20.949384038564542,-15.11732130713348,13461.462,13461.462,0
RC2_0017_ICR-2,RC2_0017,T02,0017,2,RC2_0017_ICR.2_p08,Mabton,4514,3863,651,23774,77809,-54035,5.266725742135578,20.142117525239453,-14.875391783103876,13461.462,13461.462,0
RC2_0017_ICR-3,RC2_0017,T02,0017,3,RC2_0017_ICR.3_p08,Mabton,4531,3874,657,24927,81736,-56809,5.501434561906864,21.098606091894684,-15.59717152998782,13461.462,13461.462,0
RC2_0018_ICR-1,RC2_0018,T07,0018,1,RC2_0018_ICR.1_p08,Kiona,4612,3933,679,25215,81735,-56520,5.467259323503903,20.78184591914569,-15.314586595641789,14144.724900000001,14144.724900000001,0
RC2_0018_ICR-2,RC2_0018,T07,0018,2,RC2_0018_ICR.2_p08,Kiona,4455,3933,522,23643,81085,-57442,5.307070707070707,20.616577676074243,-15.309506969003536,14144.724900000001,14144.724900000001,0
RC2_0018_ICR-3,RC2_0018,T07,0018,3,RC2_0018_ICR.3_p08,Kiona,4563,3850,713,26428,80081,-53653,5.791803637957484,20.80025974025974,-15.008456102302256,14144.724900000001,14144.724900000001,0
RC2_0019_ICR-2,RC2_0019,T06,0019,2,RC2_0019_ICR.2_p08,American River,3985,2663,1322,28115,52660,-24545,7.055207026348808,19.774690199023656,-12.719483172674849,206.20349999999996,206.20349999999996,0
RC2_0019_ICR-3,RC2_0019,T06,0019,3,RC2_0019_ICR.3_p08,American River,4147,3312,835,26606,65094,-38488,6.415722208825657,19.653985507246375,-13.23826329842072,206.20349999999996,206.20349999999996,0
RC2_0020_ICR-1,RC2_0020,T05P,0020,1,RC2_0020_ICR.1_p08,Little Naches,4213,3886,327,21473,74783,-53310,5.096843104676003,19.24420998455996,-14.147366879883956,383.86440000000005,383.86440000000005,0
RC2_0020_ICR-2,RC2_0020,T05P,0020,2,RC2_0020_ICR.2_p08,Little Naches,4454,3563,891,25819,73759,-47940,5.796811854512797,20.701375245579566,-14.90456339106677,383.86440000000005,383.86440000000005,0
RC2_0020_ICR-3,RC2_0020,T05P,0020,3,RC2_0020_ICR.3_p08,Little Naches,3967,3000,967,25591,59880,-34289,6.450970506680111,19.96,-13.50902949331989,383.86440000000005,383.86440000000005,0
RC2_0021_ICR-1,RC2_0021,T42,0021,1,RC2_0021_ICR.1_p08,Naches- Craig Road 2,4524,3651,873,27183,75898,-48715,6.008620689655173,20.788277184333058,-14.779656494677885,2465.9001000000003,2465.9001000000003,0
RC2_0021_ICR-2,RC2_0021,T42,0021,2,RC2_0021_ICR.2_p08,Naches- Craig Road 2,4203,3818,385,22855,75828,-52973,5.437782536283607,19.86066003143007,-14.422877495146462,2465.9001000000003,2465.9001000000003,0
RC2_0021_ICR-3,RC2_0021,T42,0021,3,RC2_0021_ICR.3_p08,Naches- Craig Road 2,4284,3924,360,20709,78994,-58285,4.834033613445378,20.13098878695209,-15.296955173506714,2465.9001000000003,2465.9001000000003,0
RC2_0022_ICR-1,RC2_0022,T03,0022,1,RC2_0022_ICR.1_p08,Union Gap,4442,4028,414,25356,83317,-57961,5.708239531742459,20.684458788480637,-14.976219256738178,8977.068899999998,8977.068899999998,0
RC2_0022_ICR-2,RC2_0022,T03,0022,2,RC2_0022_ICR.2_p08,Union Gap,4509,3670,839,27214,77166,-49952,6.03548458638279,21.026158038147138,-14.990673451764348,8977.068899999998,8977.068899999998,0
RC2_0022_ICR-3,RC2_0022,T03,0022,3,RC2_0022_ICR.3_p08,Union Gap,4567,3961,606,26546,83352,-56806,5.81256842566236,21.043170916435244,-15.230602490772885,8977.068899999998,8977.068899999998,0
RC2_0023_ICR-1,RC2_0023,T02,0023,1,RC2_0023_ICR.1_p08,Mabton,4451,4113,338,24834,83869,-59035,5.57942035497641,20.391198638463408,-14.811778283486998,13461.462,13461.462,0
RC2_0023_ICR-2,RC2_0023,T02,0023,2,RC2_0023_ICR.2_p08,Mabton,4458,4080,378,25702,83719,-58017,5.765365634813818,20.51936274509804,-14.753997110284221,13461.462,13461.462,0
RC2_0023_ICR-3,RC2_0023,T02,0023,3,RC2_0023_ICR.3_p08,Mabton,4374,3979,395,24766,80700,-55934,5.66209419295839,20.28147775823071,-14.61938356527232,13461.462,13461.462,0
RC2_0024_ICR-1,RC2_0024,T07,0024,1,RC2_0024_ICR.1_p08,Kiona,4292,4097,195,21814,84378,-62564,5.082479030754893,20.59506956309495,-15.512590532340056,14144.724900000001,14144.724900000001,0
RC2_0024_ICR-2,RC2_0024,T07,0024,2,RC2_0024_ICR.2_p08,Kiona,4536,3611,925,27730,77796,-50066,6.11331569664903,21.544170589864304,-15.430854893215274,14144.724900000001,14144.724900000001,0
RC2_0024_ICR-3,RC2_0024,T07,0024,3,RC2_0024_ICR.3_p08,Kiona,4363,4062,301,24947,83723,-58776,5.717854687141875,20.611275233874938,-14.893420546733063,14144.724900000001,14144.724900000001,0
RC2_0025_ICR-1,RC2_0025,T06,0025,1,RC2_0025_ICR.1_p08,American River,4135,3267,868,25998,64656,-38658,6.287303506650544,19.790633608815426,-13.503330102164881,206.20349999999996,206.20349999999996,0
RC2_0025_ICR-2,RC2_0025,T06,0025,2,RC2_0025_ICR.2_p08,American River,4002,3604,398,24567,69113,-44546,6.138680659670165,19.176748057713652,-13.038067398043488,206.20349999999996,206.20349999999996,0
RC2_0025_ICR-3,RC2_0025,T06,0025,3,RC2_0025_ICR.3_p08,American River,4095,2598,1497,26438,51238,-24800,6.456166056166056,19.72209391839877,-13.265927862232713,206.20349999999996,206.20349999999996,0
RC2_0026_ICR-1,RC2_0026,T05P,0026,1,RC2_0026_ICR.1_p08,Little Naches,4249,3812,437,23152,74645,-51493,5.448811485055307,19.581584470094437,-14.13277298503913,383.86440000000005,383.86440000000005,0
RC2_0026_ICR-2,RC2_0026,T05P,0026,2,RC2_0026_ICR.2_p08,Little Naches,4255,3902,353,22625,75365,-52740,5.317273795534665,19.314454126089185,-13.99718033055452,383.86440000000005,383.86440000000005,0
RC2_0026_ICR-3,RC2_0026,T05P,0026,3,RC2_0026_ICR.3_p08,Little Naches,4205,3824,381,23414,74735,-51321,5.568133174791915,19.543671548117153,-13.97553837332524,383.86440000000005,383.86440000000005,0
RC2_0027_ICR-1,RC2_0027,T42,0027,1,RC2_0027_ICR.1_p08,Naches- Craig Road 2,4069,3940,129,22727,77855,-55128,5.585401818628656,19.76015228426396,-14.174750465635304,2465.9001000000003,2465.9001000000003,0
RC2_0027_ICR-2,RC2_0027,T42,0027,2,RC2_0027_ICR.2_p08,Naches- Craig Road 2,3927,3523,404,23344,67282,-43938,5.944486885663356,19.097927902355945,-13.15344101669259,2465.9001000000003,2465.9001000000003,0
RC2_0027_ICR-3,RC2_0027,T42,0027,3,RC2_0027_ICR.3_p08,Naches- Craig Road 2,4060,3493,567,23161,70205,-47044,5.704679802955665,20.098768966504437,-14.394089163548772,2465.9001000000003,2465.9001000000003,0
RC2_0028_ICR-1,RC2_0028,T03,0028,1,RC2_0028_ICR.1_p08,Union Gap,4353,3885,468,24589,75691,-51102,5.648747989892028,19.482882882882883,-13.834134892990855,8977.068899999998,8977.068899999998,0
RC2_0028_ICR-2,RC2_0028,T03,0028,2,RC2_0028_ICR.2_p08,Union Gap,4453,3648,805,27084,77078,-49994,6.082191780821918,21.128837719298247,-15.046645938476328,8977.068899999998,8977.068899999998,0
RC2_0028_ICR-3,RC2_0028,T03,0028,3,RC2_0028_ICR.3_p08,Union Gap,4247,4009,238,22906,83078,-60172,5.3934542029668,20.72287353454727,-15.329419331580468,8977.068899999998,8977.068899999998,0
RC2_0029_ICR-1,RC2_0029,T02,0029,1,RC2_0029_ICR.1_p08,Mabton,4419,3670,749,28356,78615,-50259,6.41683638832315,21.420980926430516,-15.004144538107367,13461.462,13461.462,0
RC2_0029_ICR-2,RC2_0029,T02,0029,2,RC2_0029_ICR.2_p08,Mabton,4303,3987,316,25603,81163,-55560,5.950034859400418,20.356909957361424,-14.406875097961006,13461.462,13461.462,0
RC2_0029_ICR-3,RC2_0029,T02,0029,3,RC2_0029_ICR.3_p08,Mabton,4570,3975,595,27069,82991,-55922,5.9231947483588625,20.878238993710692,-14.955044245351829,13461.462,13461.462,0
RC2_0030_ICR-1,RC2_0030,T07,0030,1,RC2_0030_ICR.1_p08,Kiona,4644,3604,1040,27660,77322,-49662,5.956072351421189,21.45449500554939,-15.498422654128202,14144.724900000001,14144.724900000001,0
RC2_0030_ICR-2,RC2_0030,T07,0030,2,RC2_0030_ICR.2_p08,Kiona,4449,3542,907,28129,74096,-45967,6.322544391998202,20.919254658385093,-14.596710266386891,14144.724900000001,14144.724900000001,0
RC2_0030_ICR-3,RC2_0030,T07,0030,3,RC2_0030_ICR.3_p08,Kiona,4308,4113,195,21423,86182,-64759,4.972841225626741,20.953561876975442,-15.980720651348701,14144.724900000001,14144.724900000001,0
RC2_0031_ICR-1,RC2_0031,T06,0031,1,NA,NA,3677,NA,NA,24767,NA,NA,6.735654065814523,NA,NA,206.20349999999996,NA,NA
RC2_0031_ICR-2,RC2_0031,T06,0031,2,NA,NA,4321,NA,NA,29359,NA,NA,6.794492015737098,NA,NA,206.20349999999996,NA,NA
RC2_0031_ICR-3,RC2_0031,T06,0031,3,NA,NA,4057,NA,NA,26703,NA,NA,6.581957111165886,NA,NA,206.20349999999996,NA,NA
RC2_0032_ICR-1,RC2_0032,T05P,0032,1,NA,NA,4550,NA,NA,24892,NA,NA,5.470769230769231,NA,NA,383.86440000000005,NA,NA
RC2_0032_ICR-2,RC2_0032,T05P,0032,2,NA,NA,4372,NA,NA,25726,NA,NA,5.884263494967978,NA,NA,383.86440000000005,NA,NA
RC2_0032_ICR-3,RC2_0032,T05P,0032,3,NA,NA,4176,NA,NA,25272,NA,NA,6.051724137931035,NA,NA,383.86440000000005,NA,NA
RC2_0033_ICR-1,RC2_0033,T42,0033,1,NA,NA,4510,NA,NA,25936,NA,NA,5.750776053215078,NA,NA,2465.9001000000003,NA,NA
RC2_0033_ICR-2,RC2_0033,T42,0033,2,NA,NA,4491,NA,NA,26494,NA,NA,5.899354264083723,NA,NA,2465.9001000000003,NA,NA
RC2_0033_ICR-3,RC2_0033,T42,0033,3,NA,NA,4326,NA,NA,25826,NA,NA,5.969949144706426,NA,NA,2465.9001000000003,NA,NA
RC2_0034_ICR-1,RC2_0034,T03,0034,1,NA,NA,4132,NA,NA,28145,NA,NA,6.811471442400775,NA,NA,8977.068899999998,NA,NA
RC2_0034_ICR-2,RC2_0034,T03,0034,2,NA,NA,4608,NA,NA,27480,NA,NA,5.963541666666667,NA,NA,8977.068899999998,NA,NA
RC2_0034_ICR-3,RC2_0034,T03,0034,3,NA,NA,4649,NA,NA,29654,NA,NA,6.378576037857604,NA,NA,8977.068899999998,NA,NA
RC2_0035_ICR-1,RC2_0035,T02,0035,1,NA,NA,4672,NA,NA,28355,NA,NA,6.069135273972603,NA,NA,13461.462,NA,NA
RC2_0035_ICR-2,RC2_0035,T02,0035,2,NA,NA,4404,NA,NA,25736,NA,NA,5.84377838328792,NA,NA,13461.462,NA,NA
RC2_0035_ICR-3,RC2_0035,T02,0035,3,NA,NA,4849,NA,NA,28763,NA,NA,5.931738502784079,NA,NA,13461.462,NA,NA
RC2_0036_ICR-1,RC2_0036,T07,0036,1,NA,NA,4586,NA,NA,28943,NA,NA,6.311164413432185,NA,NA,14144.724900000001,NA,NA
RC2_0036_ICR-2,RC2_0036,T07,0036,2,NA,NA,4693,NA,NA,28953,NA,NA,6.16940123588323,NA,NA,14144.724900000001,NA,NA
RC2_0036_ICR-3,RC2_0036,T07,0036,3,NA,NA,4118,NA,NA,30252,NA,NA,7.346284604176785,NA,NA,14144.724900000001,NA,NA
RC2_0037_ICR-1,RC2_0037,T06,0037,1,NA,NA,4821,NA,NA,27090,NA,NA,5.619166148102053,NA,NA,206.20349999999996,NA,NA
RC2_0037_ICR-2,RC2_0037,T06,0037,2,NA,NA,4560,NA,NA,28271,NA,NA,6.199780701754386,NA,NA,206.20349999999996,NA,NA
RC2_0037_ICR-3,RC2_0037,T06,0037,3,NA,NA,4554,NA,NA,26207,NA,NA,5.754721124286342,NA,NA,206.20349999999996,NA,NA
RC2_0038_ICR-1,RC2_0038,T05P,0038,1,NA,NA,4606,NA,NA,24794,NA,NA,5.382978723404255,NA,NA,383.86440000000005,NA,NA
RC2_0038_ICR-2,RC2_0038,T05P,0038,2,NA,NA,4116,NA,NA,23742,NA,NA,5.7682215743440235,NA,NA,383.86440000000005,NA,NA
RC2_0038_ICR-3,RC2_0038,T05P,0038,3,NA,NA,4386,NA,NA,25909,NA,NA,5.907204742362061,NA,NA,383.86440000000005,NA,NA
RC2_0039_ICR-1,RC2_0039,T42,0039,1,NA,NA,4710,NA,NA,25662,NA,NA,5.448407643312102,NA,NA,2465.9001000000003,NA,NA
RC2_0039_ICR-2,RC2_0039,T42,0039,2,NA,NA,4254,NA,NA,30800,NA,NA,7.240244475787494,NA,NA,2465.9001000000003,NA,NA
RC2_0039_ICR-3,RC2_0039,T42,0039,3,NA,NA,4852,NA,NA,26248,NA,NA,5.4097279472382525,NA,NA,2465.9001000000003,NA,NA
RC2_0040_ICR-1,RC2_0040,T03,0040,1,NA,NA,4385,NA,NA,26695,NA,NA,6.0877993158494865,NA,NA,8977.068899999998,NA,NA
RC2_0040_ICR-2,RC2_0040,T03,0040,2,NA,NA,4196,NA,NA,28999,NA,NA,6.911105815061964,NA,NA,8977.068899999998,NA,NA
RC2_0040_ICR-3,RC2_0040,T03,0040,3,NA,NA,4683,NA,NA,26810,NA,NA,5.724962630792227,NA,NA,8977.068899999998,NA,NA
RC2_0041_ICR-1,RC2_0041,T02,0041,1,NA,NA,4692,NA,NA,29372,NA,NA,6.26001705029838,NA,NA,13461.462,NA,NA
RC2_0041_ICR-2,RC2_0041,T02,0041,2,NA,NA,4606,NA,NA,26949,NA,NA,5.8508467216673905,NA,NA,13461.462,NA,NA
RC2_0041_ICR-3,RC2_0041,T02,0041,3,NA,NA,3847,NA,NA,26983,NA,NA,7.014036911879386,NA,NA,13461.462,NA,NA
RC2_0042_ICR-1,RC2_0042,T07,0042,1,NA,NA,4177,NA,NA,28573,NA,NA,6.840555422552071,NA,NA,14144.724900000001,NA,NA
RC2_0042_ICR-2,RC2_0042,T07,0042,2,NA,NA,4610,NA,NA,29648,NA,NA,6.431236442516269,NA,NA,14144.724900000001,NA,NA
RC2_0042_ICR-3,RC2_0042,T07,0042,3,NA,NA,3991,NA,NA,27522,NA,NA,6.896016036081183,NA,NA,14144.724900000001,NA,NA
RC2_0043_ICR-1,RC2_0043,T06,0043,1,NA,NA,4031,NA,NA,26525,NA,NA,6.580253038948152,NA,NA,206.20349999999996,NA,NA
RC2_0043_ICR-2,RC2_0043,T06,0043,2,NA,NA,3950,NA,NA,27954,NA,NA,7.076962025316456,NA,NA,206.20349999999996,NA,NA
RC2_0043_ICR-3,RC2_0043,T06,0043,3,NA,NA,3245,NA,NA,26594,NA,NA,8.19537750385208,NA,NA,206.20349999999996,NA,NA
RC2_0044_ICR-1,RC2_0044,T05P,0044,1,NA,NA,4206,NA,NA,28142,NA,NA,6.690917736566809,NA,NA,383.86440000000005,NA,NA
RC2_0044_ICR-2,RC2_0044,T05P,0044,2,NA,NA,3177,NA,NA,29898,NA,NA,9.410764872521248,NA,NA,383.86440000000005,NA,NA
RC2_0044_ICR-3,RC2_0044,T05P,0044,3,NA,NA,4207,NA,NA,26048,NA,NA,6.191585452816734,NA,NA,383.86440000000005,NA,NA
RC2_0045_ICR-1,RC2_0045,T42,0045,1,NA,NA,4587,NA,NA,31640,NA,NA,6.897754523653804,NA,NA,2465.9001000000003,NA,NA
RC2_0045_ICR-2,RC2_0045,T42,0045,2,NA,NA,4703,NA,NA,29102,NA,NA,6.1879651286412924,NA,NA,2465.9001000000003,NA,NA
RC2_0045_ICR-3,RC2_0045,T42,0045,3,NA,NA,4283,NA,NA,30324,NA,NA,7.080084053233715,NA,NA,2465.9001000000003,NA,NA
RC2_0046_ICR-1,RC2_0046,T03,0046,1,NA,NA,4595,NA,NA,28200,NA,NA,6.137105549510338,NA,NA,8977.068899999998,NA,NA
RC2_0046_ICR-2,RC2_0046,T03,0046,2,NA,NA,4367,NA,NA,29029,NA,NA,6.647355163727959,NA,NA,8977.068899999998,NA,NA
