Site_ID,your_site_4digit,repo_location,your_basin_area_km2,repo_basin_area_km2,n_your_samples,n_repo_samples,your_mean_richness,repo_mean_richness,richness_difference,your_mean_total_transformations,repo_mean_total_transformations,total_transformations_difference,your_mean_normalized_transformations,repo_mean_normalized_transformations,normalized_transformations_difference,basin_area_difference_km2
T05P,0014,Little Naches,383.86440000000005,383.86440000000005,3,3,4272.333333333333,3886.3333333333335,385.99999999999955,21423,75598,-54175,5.011510189333138,19.451032065375678,-14.43952187604254,0
T05P,0020,Little Naches,383.86440000000005,383.86440000000005,3,3,4211.333333333333,3483,728.333333333333,24294.333333333332,69474,-45179.66666666667,5.781541821956304,19.96852841004651,-14.186986588090207,0
T05P,0026,Little Naches,383.86440000000005,383.86440000000005,3,3,4236.333333333333,3846,390.33333333333303,23063.666666666668,74915,-51851.33333333333,5.444739485127296,19.47990338143359,-14.035163896306294,0
T05P,0032,NA,383.86440000000005,NA,3,0,4366,NA,NA,25296.666666666668,NA,NA,5.802252287889415,NA,NA,NA
T05P,0038,NA,383.86440000000005,NA,3,0,4369.333333333333,NA,NA,24815,NA,NA,5.686135013370113,NA,NA,NA
T05P,0044,NA,383.86440000000005,NA,3,0,3863.3333333333335,NA,NA,28029.333333333332,NA,NA,7.431089353968264,NA,NA,NA
T05P,0051,NA,383.86440000000005,NA,3,0,4459.333333333333,NA,NA,26137,NA,NA,5.861810767788984,NA,NA,NA
T05P,0056,NA,383.86440000000005,NA,3,0,4378,NA,NA,27408.333333333332,NA,NA,6.279821301585666,NA,NA,NA
T05P,0062,NA,383.86440000000005,NA,3,0,4329,NA,NA,27318.666666666668,NA,NA,6.345352059658315,NA,NA,NA
T05P,0068,NA,383.86440000000005,NA,3,0,4229.666666666667,NA,NA,27359,NA,NA,6.473240334729536,NA,NA,NA
T05P,0077,NA,383.86440000000005,NA,3,0,4475.666666666667,NA,NA,27476,NA,NA,6.145399881152237,NA,NA,NA
T05P,0080,NA,383.86440000000005,NA,3,0,4068,NA,NA,26653.666666666668,NA,NA,6.5882173918924245,NA,NA,NA
T05P,0086,NA,383.86440000000005,NA,3,0,4297.333333333333,NA,NA,27461,NA,NA,6.394079616298067,NA,NA,NA
T05P,0092,NA,383.86440000000005,NA,3,0,3386.3333333333335,NA,NA,26045.333333333332,NA,NA,7.76274780905493,NA,NA,NA
T05P,NA,NA,383.86440000000005,NA,35,0,4011.4285714285716,NA,NA,24191.314285714285,NA,NA,6.0873870168909106,NA,NA,NA
T06,0001,American River,206.20349999999996,206.20349999999996,3,3,4228.333333333333,3381.6666666666665,846.6666666666665,28147,69194.66666666667,-41047.66666666667,6.6570477219374125,20.46094387552608,-13.803896153588667,0
T06,0007,American River,206.20349999999996,206.20349999999996,3,3,4070.3333333333335,3209,861.3333333333335,25055.666666666668,63369,-38313.33333333333,6.1549289075134395,19.75623095971464,-13.601302052201198,0
T06,0013,American River,206.20349999999996,206.20349999999996,3,3,4017.6666666666665,3228.3333333333335,789.333333333333,24286.666666666668,64803.333333333336,-40516.66666666667,6.041990440850219,20.084156063707294,-14.042165622857075,0
T06,0019,American River,206.20349999999996,206.20349999999996,2,2,4066,2987.5,1078.5,27360.5,58877,-31516.5,6.735464617587232,19.714337853135014,-12.97887323554778,0
T06,0025,American River,206.20349999999996,206.20349999999996,3,3,4077.3333333333335,3156.3333333333335,921,25667.666666666668,61669,-36001.33333333333,6.294050074162255,19.563158528309284,-13.269108454147029,0
T06,0031,NA,206.20349999999996,NA,3,0,4018.3333333333335,NA,NA,26943,NA,NA,6.704034397572502,NA,NA,NA
T06,0037,NA,206.20349999999996,NA,3,0,4645,NA,NA,27189.333333333332,NA,NA,5.85788932471426,NA,NA,NA
T06,0043,NA,206.20349999999996,NA,3,0,3742,NA,NA,27024.333333333332,NA,NA,7.284197522705563,NA,NA,NA
T06,0050,NA,206.20349999999996,NA,3,0,4481.666666666667,NA,NA,30408.333333333332,NA,NA,6.792611429946565,NA,NA,NA
T06,0055,NA,206.20349999999996,NA,3,0,4629,NA,NA,31120.666666666668,NA,NA,6.733565839808786,NA,NA,NA
T06,0061,NA,206.20349999999996,NA,3,0,3953.3333333333335,NA,NA,31342.666666666668,NA,NA,7.925672204458613,NA,NA,NA
T06,0067,NA,206.20349999999996,NA,3,0,3203.3333333333335,NA,NA,25117.333333333332,NA,NA,7.946474365454621,NA,NA,NA
T06,0078,NA,206.20349999999996,NA,3,0,3611.3333333333335,NA,NA,28075.666666666668,NA,NA,7.779642896733871,NA,NA,NA
T06,0079,NA,206.20349999999996,NA,3,0,3643.3333333333335,NA,NA,25839.333333333332,NA,NA,7.092740970753922,NA,NA,NA
T06,0085,NA,206.20349999999996,NA,3,0,3633,NA,NA,26372,NA,NA,7.250877909049012,NA,NA,NA
T06,0091,NA,206.20349999999996,NA,3,0,2719.6666666666665,NA,NA,23459.666666666668,NA,NA,8.583665574895551,NA,NA,NA
T06,NA,NA,206.20349999999996,NA,36,0,3754.222222222222,NA,NA,26512.833333333332,NA,NA,7.129251700472229,NA,NA,NA
T07,0006,Kiona,14144.724900000001,14144.724900000001,3,3,4596.666666666667,3713.3333333333335,883.3333333333335,28228.333333333332,78409.66666666667,-50181.33333333334,6.143109992923922,21.1035334876649,-14.96042349474098,0
T07,0012,Kiona,14144.724900000001,14144.724900000001,3,3,4408,3776.6666666666665,631.3333333333335,25294,77807,-52513,5.746504053395805,20.62598745288801,-14.879483399492203,0
T07,0018,Kiona,14144.724900000001,14144.724900000001,3,3,4543.333333333333,3905.3333333333335,637.9999999999995,25095.333333333332,80967,-55871.66666666667,5.522044556177365,20.732894445159893,-15.210849888982528,0
T07,0024,Kiona,14144.724900000001,14144.724900000001,3,3,4397,3923.3333333333335,473.6666666666665,24830.333333333332,81965.66666666667,-57135.33333333334,5.637883138181933,20.916838462278065,-15.278955324096131,0
T07,0030,Kiona,14144.724900000001,14144.724900000001,3,3,4467,3753,714,25737.333333333332,79200,-53462.66666666667,5.750485989682044,21.109103846969976,-15.358617857287932,0
T07,0036,NA,14144.724900000001,NA,3,0,4465.666666666667,NA,NA,29382.666666666668,NA,NA,6.6089500844974,NA,NA,NA
T07,0042,NA,14144.724900000001,NA,3,0,4259.333333333333,NA,NA,28581,NA,NA,6.722602633716508,NA,NA,NA
T07,0048,NA,14144.724900000001,NA,3,0,4535.333333333333,NA,NA,30118.666666666668,NA,NA,6.673398730346833,NA,NA,NA
T07,0054,NA,14144.724900000001,NA,3,0,4659,NA,NA,29022.666666666668,NA,NA,6.233022560502616,NA,NA,NA
T07,0060,NA,14144.724900000001,NA,3,0,4784.333333333333,NA,NA,29381.666666666668,NA,NA,6.1440653846802515,NA,NA,NA
T07,0066,NA,14144.724900000001,NA,3,0,4580.666666666667,NA,NA,30018.666666666668,NA,NA,6.554543375882324,NA,NA,NA
T07,0072,NA,14144.724900000001,NA,3,0,4325,NA,NA,30624,NA,NA,7.173048241120562,NA,NA,NA
T07,0073,NA,14144.724900000001,NA,3,0,4516,NA,NA,29549.666666666668,NA,NA,6.554522106774691,NA,NA,NA
T07,0084,NA,14144.724900000001,NA,3,0,4722,NA,NA,30688.666666666668,NA,NA,6.533377104374206,NA,NA,NA
T07,0090,NA,14144.724900000001,NA,3,0,4497,NA,NA,29677.666666666668,NA,NA,6.601936047009186,NA,NA,NA
T07,0096,NA,14144.724900000001,NA,3,0,4136.333333333333,NA,NA,30205,NA,NA,7.4194020555369695,NA,NA,NA
T07,0097,NA,14144.724900000001,NA,3,0,4078.3333333333335,NA,NA,29442.666666666668,NA,NA,7.244320689734388,NA,NA,NA
T07,NA,NA,14144.724900000001,NA,57,0,4100.701754385965,NA,NA,26565.964912280702,NA,NA,6.5353134039222605,NA,NA,NA
T41,0003,Naches- Craig Road 1,2465.9001000000003,2465.9001000000003,3,3,4073.6666666666665,3413,660.6666666666665,25152,68228.66666666667,-43076.66666666667,6.222710201760965,19.966494272237224,-13.74378407047626,0
T42,0009,Naches- Craig Road 2,2465.9001000000003,2465.9001000000003,3,3,4422,3595.6666666666665,826.3333333333335,26518.666666666668,73347.33333333333,-46828.66666666666,6.000088903677009,20.408645687882387,-14.408556784205379,0
T42,0015,Naches- Craig Road 2,2465.9001000000003,2465.9001000000003,3,3,4411.666666666667,3757,654.666666666667,24422,76574,-52152,5.529626262323876,20.390845900426875,-14.861219638102998,0
T42,0021,Naches- Craig Road 2,2465.9001000000003,2465.9001000000003,3,3,4337,3797.6666666666665,539.3333333333335,23582.333333333332,76906.66666666667,-53324.33333333334,5.426812279794719,20.259975334238405,-14.833163054443686,0
T42,0027,Naches- Craig Road 2,2465.9001000000003,2465.9001000000003,3,3,4018.6666666666665,3652,366.6666666666665,23077.333333333332,71780.66666666667,-48703.33333333334,5.744856169082559,19.652283051041447,-13.907426881958887,0
T42,0033,NA,2465.9001000000003,NA,3,0,4442.333333333333,NA,NA,26085.333333333332,NA,NA,5.873359820668409,NA,NA,NA
T42,0039,NA,2465.9001000000003,NA,3,0,4605.333333333333,NA,NA,27570,NA,NA,6.03279335544595,NA,NA,NA
T42,0045,NA,2465.9001000000003,NA,3,0,4524.333333333333,NA,NA,30355.333333333332,NA,NA,6.721934568509604,NA,NA,NA
T42,0052,NA,2465.9001000000003,NA,3,0,4398,NA,NA,29213.666666666668,NA,NA,6.730067997754434,NA,NA,NA
T42,0057,NA,2465.9001000000003,NA,3,0,4332.333333333333,NA,NA,28655.666666666668,NA,NA,6.63348786884363,NA,NA,NA
T42,0063,NA,2465.9001000000003,NA,3,0,4421.666666666667,NA,NA,28248.333333333332,NA,NA,6.395466524900262,NA,NA,NA
T42,0069,NA,2465.9001000000003,NA,3,0,4494.333333333333,NA,NA,28884.333333333332,NA,NA,6.467989688399445,NA,NA,NA
T42,0076,NA,2465.9001000000003,NA,3,0,4507.666666666667,NA,NA,29447,NA,NA,6.532627755267866,NA,NA,NA
T42,0081,NA,2465.9001000000003,NA,3,0,4263.666666666667,NA,NA,31154.666666666668,NA,NA,7.359745591123545,NA,NA,NA
T42,0087,NA,2465.9001000000003,NA,3,0,4605,NA,NA,28999,NA,NA,6.328650344639394,NA,NA,NA
T42,0093,NA,2465.9001000000003,NA,3,0,4230,NA,NA,29847,NA,NA,7.070434893379337,NA,NA,NA
T42,NA,NA,2465.9001000000003,NA,51,0,4072.098039215686,NA,NA,28467.58823529412,NA,NA,7.275420552383168,NA,NA,NA
